galaxy,logM,delta_mass_std,slope_tail,Rmax_kpc,delta_f3
CVnIdwA,6.2000,-2.4381,0.1812,,-0.3188
DDO43,7.6000,0.0430,0.1680,,-0.3320
DDO46,7.8000,0.4215,0.1153,,-0.3847
DDO47,8.1000,1.3116,0.0980,,-0.4020
DDO50,8.2000,0.8289,0.2269,,-0.2731
DDO52,8.1000,1.0209,0.1073,,-0.3927
DDO53,7.0000,-1.2282,0.1149,,-0.3851
DDO63,7.9000,0.1198,0.1760,,-0.3240
DDO69,6.8000,-0.3952,-0.0734,2.2000,-0.5734
DDO70,7.5000,0.2016,-0.0611,2.5000,-0.5611
DDO71,6.8000,-1.4448,0.1441,,-0.3559
DDO75,7.2000,0.1513,-0.1177,2.5000,-0.6177
DDO87,7.9000,0.8232,0.0669,,-0.4331
DDO101,8.2000,0.9578,0.0627,,-0.4373
DDO126,7.8000,0.3238,0.1153,,-0.3847
DDO133,7.8000,0.2921,0.1269,,-0.3731
DDO154,7.6000,1.0715,-0.0361,,-0.5361
DDO168,8.1000,0.8388,0.0377,,-0.4623
DDO210,5.8000,-0.3725,-0.3731,2.0000,-0.8731
DDO216,7.0000,-1.7098,0.1941,,-0.3059
F564-V3,7.0000,-0.9900,0.1527,,-0.3473
Haro29,8.0000,0.1250,0.0919,,-0.4081
IC1613,7.6000,-0.7250,0.3027,,-0.1973
NGC1569,8.4000,0.5246,0.1919,,-0.3081
NGC2366,8.4000,1.3631,0.0817,,-0.4183
UGC8508,6.9000,-1.1150,0.1277,,-0.3723
